Customer_ID,First_Name,D_State,D_Email,Test_Variable,Days_in_Between,Int_T_Email,Int_T_State,Outcome
1,Abbey,1,0,test,30,0,19,1
2,Nicola,0,0,test,30,0,0,1
3,Frederik,1,0,test,30,0,21,1
4,Pauline,0,0,test,30,0,0,1
5,Jedidiah,1,0,control,31,0,2,1
6,,0,0,test,31,0,0,1
7,Meghan,1,0,test,30,0,10,1
8,Austen,1,0,test,32,0,17,1
9,Maeve,1,0,test,32,0,20,1
10,Lucile,1,1,test,41,9,9,1
11,Otto,0,0,test,52,0,0,1
12,Christelle,1,0,test,33,0,15,1
13,Kaylie,1,0,test,34,0,18,1
14,Stacey,1,0,test,51,0,14,1
15,Jovani,0,0,control,36,0,0,1
16,Allie,1,0,test,29,0,3,1
17,Felicity,1,0,test,37,0,13,1
18,Holly,0,0,test,29,0,0,1
19,Alicia,1,0,test,38,0,23,1
20,Jeremie,1,0,test,40,0,22,1
21,Juvenal,1,0,control,30,0,23,1
22,Jasmin,1,0,control,40,0,0,1
23,Garrick,0,0,control,36,0,0,1
24,Orville,1,0,test,33,0,5,1
25,Leanna,0,0,test,40,0,0,1
26,Iliana,0,0,test,39,0,0,1
27,Zakary,0,0,test,63,0,0,1
28,Isom,0,0,test,41,0,0,1
29,Russ,0,0,test,42,0,0,1
30,Julian,1,0,test,41,0,3,1
31,General,1,0,test,31,0,5,1
32,Jaylen,1,1,control,27,8,8,1
33,Carmel,1,1,test,79,14,14,1
34,Tyson,0,0,test,43,0,0,1
35,Abdiel,1,0,control,37,0,13,1
36,Jedediah,0,0,test,44,0,0,1
37,Vilma,0,0,test,44,0,0,1
38,Jorge,1,0,test,44,0,0,1
39,Oscar,0,0,test,44,0,0,1
40,Raul,1,1,test,50,3,3,1
41,Pascale,1,0,test,44,0,4,1
42,Aditya,0,0,test,45,0,0,1
43,Nicola,1,0,test,45,0,0,1
44,Loyal,0,0,test,46,0,0,1
45,Dexter,1,0,test,47,0,19,1
46,Tatyana,1,1,test,50,20,20,1
47,Abigayle,1,0,control,48,0,8,1
48,Tyrel,0,0,test,79,0,0,1
49,Wilford,1,0,test,50,0,2,1
50,Roxane,0,0,test,51,0,0,1
51,Ova,0,0,test,51,0,0,1
52,Tremaine,1,0,control,20,0,4,1
53,Juliana,1,0,test,51,0,7,1
54,Evie,1,0,test,52,0,12,1
55,Trenton,1,1,test,35,23,23,1
56,Amari,1,0,test,53,0,6,1
57,Rebeca,0,0,control,38,0,0,1
58,Alison,1,0,test,53,0,9,1
59,Adolf,0,0,test,54,0,0,1
60,Christopher,0,0,control,39,0,0,1
61,Collin,1,0,test,22,0,16,1
62,Houston,1,1,test,84,19,19,1
63,Arne,0,0,test,55,0,0,1
64,Sarah,0,0,test,41,0,0,1
65,Golden,1,1,control,38,6,6,1
66,Myron,0,0,test,55,0,0,1
67,Iliana,1,0,test,55,0,18,1
68,Dolly,1,0,test,55,0,21,1
69,Herminio,0,0,test,55,0,0,1
70,Rylan,1,0,test,55,0,2,1
71,Emile,0,0,test,55,0,0,1
72,Sylvester,0,0,test,22,0,0,1
73,,0,0,control,56,0,0,1
74,Alvis,1,0,test,56,0,17,1
75,,0,0,test,56,0,0,1
76,Brice,0,0,control,34,0,0,1
77,Polly,0,0,control,56,0,0,1
78,Jeff,0,0,control,53,0,0,1
79,Ubaldo,1,0,control,57,0,23,1
80,Chester,1,1,test,78,19,19,1
81,Zander,1,1,test,66,9,9,1
82,Annamarie,1,1,control,53,11,11,1
83,Florida,0,0,test,19,0,0,1
84,Pierre,1,0,test,61,0,16,1
85,Elroy,0,0,test,63,0,0,1
86,Myles,0,0,test,39,0,0,1
87,Stanton,0,0,control,64,0,0,1
88,Cali,1,1,control,63,4,4,1
89,,0,0,test,65,0,0,1
90,Chaya,0,0,test,9,0,0,1
91,Ulises,1,0,test,58,0,16,1
92,Louie,1,0,test,66,0,23,1
93,Ceasar,1,0,test,62,0,12,1
94,Justus,1,0,test,67,0,13,1
95,Marcia,0,0,test,67,0,0,1
96,Kamren,1,0,test,39,0,18,1
97,Kobe,1,0,test,68,0,20,1
98,Zelda,1,0,test,68,0,21,1
99,Mervin,1,0,test,68,0,6,1
100,,0,0,test,5,0,0,1
101,Lexi,1,1,test,54,7,7,1
102,Tito,1,1,test,79,8,8,1
103,Rhiannon,0,0,test,48,0,0,1
104,Jarrett,1,0,control,67,0,22,1
105,Mortimer,1,0,test,74,0,15,1
106,Simone,1,0,test,74,0,5,1
107,Noemy,1,0,test,40,0,8,1
108,Eloise,0,0,test,76,0,0,1
109,Urban,1,0,test,76,0,18,1
110,Brando,1,0,test,45,0,18,1
111,Deontae,0,0,test,30,0,0,1
112,Kaitlin,1,0,test,31,0,7,1
113,Sincere,1,1,test,31,9,9,1
114,Bradly,1,1,test,32,16,16,1
115,Janice,1,1,test,32,21,21,1
116,Guillermo,1,1,test,35,11,11,1
117,Christ,1,1,control,32,11,11,1
118,Norris,1,1,test,37,12,12,1
119,Sydnie,1,1,test,34,7,7,1
120,Oliver,1,1,test,38,10,10,1
121,Roxane,1,1,test,35,12,12,1
122,Dameon,0,1,control,27,14,0,1
123,Doyle,1,1,test,32,18,18,1
124,Ansel,1,1,test,35,22,22,1
125,,0,0,test,56,0,0,1
126,Lavern,1,0,test,29,0,7,1
127,Daija,0,1,test,38,8,0,1
128,Bonita,1,1,test,39,16,16,1
129,Bradly,1,1,test,40,6,6,1
130,Chyna,1,1,test,62,9,9,1
131,Ronaldo,1,1,test,36,12,12,1
132,Adam,0,0,control,39,0,0,1
133,Berry,1,1,test,41,2,2,1
134,Denis,1,1,control,41,3,3,1
135,Brandy,1,1,test,43,23,23,1
136,Alaina,1,0,test,59,0,0,1
137,Shanie,1,1,test,43,4,4,1
138,Aubrey,1,1,test,53,11,11,1
139,Columbus,1,1,test,33,11,11,1
140,Jacynthe,1,0,test,44,0,5,1
141,Samara,1,0,control,44,0,0,1
142,Savannah,1,1,test,46,8,8,1
143,Gertrude,1,1,control,25,14,14,1
144,Domenic,1,1,test,51,16,16,1
145,Gianni,1,1,test,50,12,12,1
146,Edyth,1,1,test,45,13,13,1
147,Emerson,1,1,test,51,17,17,1
148,Joana,1,0,control,59,0,19,1
149,Monserrate,1,1,test,51,2,2,1
150,Eduardo,1,1,test,47,8,8,1
151,Hosea,0,0,test,53,0,0,1
152,Ashly,0,1,control,46,21,0,1
153,Clifford,1,1,test,53,22,22,1
154,Leatha,1,1,test,54,23,23,1
155,Catherine,1,1,test,54,4,4,1
156,Albertha,1,1,test,54,5,5,1
157,Francis,1,1,test,55,14,14,1
158,Mohamed,1,0,test,83,0,11,1
159,Agnes,0,1,test,57,13,0,1
160,Katrina,1,0,test,52,0,17,1
161,Antonina,0,1,test,62,22,0,1
162,Morgan,1,1,test,64,2,2,1
163,Willa,1,0,test,65,0,13,1
164,Juwan,1,1,test,68,19,19,1
165,Sandy,1,1,test,73,3,3,1
166,Layla,0,1,test,38,13,0,1
167,Icie,1,1,test,54,16,16,1
168,Travis,1,1,test,17,7,7,1
169,Brielle,1,1,control,27,8,8,1
170,Bertha,0,0,test,200,0,0,0
171,Kyle,0,0,control,200,0,0,0
172,Paxton,0,0,control,200,0,0,0
173,Thelma,0,0,test,200,0,0,0
174,Lorna,0,0,control,200,0,0,0
175,Leann,0,0,test,200,0,0,0
176,Jackson,0,0,test,200,0,0,0
177,Hector,1,0,test,200,0,4,0
178,Nayeli,0,0,control,200,0,0,0
179,Joey,1,0,test,200,0,4,0
180,Camden,1,0,control,200,0,4,0
181,Frances,0,0,test,200,0,0,0
182,Astrid,0,0,control,200,0,0,0
183,Johnny,1,0,test,200,0,5,0
184,Gaylord,0,0,control,200,0,0,0
185,Mac,1,0,test,200,0,5,0
186,Randal,0,0,test,200,0,0,0
187,Jadyn,0,0,control,200,0,0,0
188,,0,0,control,200,0,0,0
189,Derrick,0,0,control,200,0,0,0
190,Lily,1,0,test,200,0,5,0
191,Emile,1,0,test,200,0,5,0
192,Gay,0,0,control,200,0,0,0
193,Jeramy,0,0,control,200,0,0,0
194,Dorcas,0,0,control,200,0,0,0
195,Cecil,1,0,test,200,0,6,0
196,Oleta,1,0,control,200,0,6,0
197,Winona,1,0,test,200,0,6,0
198,Ewald,1,0,test,200,0,6,0
199,Karl,1,1,test,200,6,6,0
200,Chanel,0,1,control,200,6,0,0
201,Angela,1,0,test,200,0,6,0
202,Aileen,0,0,test,200,0,0,0
203,German,0,0,control,200,0,0,0
204,Boris,1,0,control,200,0,7,0
205,Ansel,0,0,test,200,0,0,0
206,Jayne,1,1,test,200,7,7,0
207,Ally,0,0,test,200,0,0,0
208,Adela,1,1,control,200,7,7,0
209,Madonna,0,1,control,200,7,0,0
210,Santa,0,0,control,200,0,0,0
211,Weldon,1,0,control,200,0,7,0
212,Josue,0,0,test,200,0,0,0
213,,1,1,control,200,7,7,0
214,Lorena,0,0,test,200,0,0,0
215,Keaton,0,0,control,200,0,0,0
216,Jazmyne,0,0,control,200,0,0,0
217,Lola,0,0,control,200,0,0,0
218,Ollie,1,0,test,200,0,8,0
219,Hiram,0,0,test,200,0,0,0
220,Vicky,0,0,control,200,0,0,0
221,Breana,0,0,test,200,0,0,0
222,Imani,1,0,test,200,0,8,0
223,Elisha,1,0,control,200,0,8,0
224,Cleveland,1,1,test,200,8,8,0
225,Brain,0,0,control,200,0,0,0
226,Era,1,1,control,200,8,8,0
227,Delilah,0,0,test,200,0,0,0
228,Jasper,1,0,test,200,0,9,0
229,Augusta,1,0,test,200,0,9,0
