"","Caller_ID","Session","First_Name","Last_Name","Street","City","Address","Zipcode","Email","Incoming_Phone","Contact_Phone","Test_Control","Bought"
"1","58721532KAPQCBPI","2014.04.06 21:41:20","Precious","Crooks","","","1","","1","(402)-153-4684","1","1",1
"2","23038894CMNSODFZ","2014.02.09 00:11:48","Kade","Monahan","105 Hildegard Via","New Kurtisland","1","35184-1549","1","","1","1",1
"3","69625571RPKIIQVF","2014.02.05 23:11:49","George","McLaughlin","","Medhursthaven","1","34914-7022","1","(830)-998-3332","1","1",1
"4","94500711CLZMMVUY","2014.02.06 00:22:31","Hector","Frami","","","1","14607","1","(775)-329-0338","1","1",1
"5","40934455VTXMYZUW","2014.02.04 19:30:15","Carroll","Tromp","","","1","36627","1","(814)-861-7221","0","1",1
"6","25499759SMZUVQET","2014.02.06 03:23:16","Jane","Stoltenberg","","","1","","1","(248)-549-8764","1","1",1
"7","98840679LDLDQASC","2014.02.06 05:24:11","Marcus","Gutkowski","147 Sherwood Plain","","1","","0","(385)-720-2094","1","1",1
"8","64215271KNLJKYNX","2014.02.06 10:20:37","Brigitte","Runte","","","1","29740-6847","1","(916)-824-7278","1","1",1
"9","41933151ZGKGRXAJ","2014.02.06 14:59:05","Cristobal","Gusikowski","","","0","","1","(878)-091-4844","0","0",1
"10","24727741GVDTGWJF","2014.02.06 23:25:55","Cecelia","Fisher","81913 Melissa Hollow","North Tressa","1","71410","1","(484)-705-2967","0","1",1
"11","72120509ZVOUFTRQ","2014.02.06 16:32:38","Amaya","Rodriguez","17392 Stoltenberg Via","Deannaside","1","17692","1","(210)-420-3060","0","1",1
"12","20004576CMYXGBRO","2014.02.07 01:02:51","Maudie","Ebert","","","1","30742","1","(803)-748-6444","1","1",1
"13","43461395QNUVRVXF","2014.02.07 04:42:31","Agustin","Koepp","","","1","","0","(270)-976-8746","0","1",1
"14","60663181HOGGBQYS","2014.02.07 06:49:35","Loy","Nader","","","1","67709","1","(615)-690-7091","0","1",1
"15","31076302JANNOYDY","2014.02.06 03:56:59","Shanel","Huels","","","1","","0","(785)-484-8767","1","1",1
"16","76211951FCZYTCVN","2014.02.08 08:51:24","Dillon","Quitzon","","","1","46695-9066","1","(321)-492-4457","0","1",1
"17","82708536YNZJMGXX","2014.02.08 11:55:33","Kolby","Hermiston","635 Brown Squares","Port Noeltown","1","78231-6267","1","(234)-704-7890","0","1",1
"18","51943963FYSKTXSE","2014.02.08 09:14:02","Ludie","Hand","","","1","","0","(281)-070-8378","0","1",1
"19","37309570RBWHQMUI","2014.02.08 18:32:20","Barrett","","","","1","75580","0","(559)-167-2666","1","1",1
"20","41117943EVEVTXWB","2014.02.08 19:20:49","Alexzander","McLaughlin","","","1","92791","1","(410)-262-5411","0","1",1
"21","97432306KALYQFAI","2014.02.08 20:25:59","Izabella","Fay","","","1","43716-8594","1","(937)-347-4100","0","1",1
"22","23199380FGRQONJM","2014.02.10 00:25:42","Jerrod","Kirlin","880 Stanton Island","Schneiderbury","1","72213-8934","1","(318)-930-7134","0","1",1
"23","44978074QKHNXKHY","2014.02.08 04:20:47","Jacey","Russel","","","1","17788","1","(406)-556-9554","0","0",1
"24","95482023EIJBMHNC","2014.02.10 05:36:47","Damon","Kessler","428 Towne Station","Lake Lindsey","1","43390","1","(240)-478-0630","0","1",1
"25","08371311PHXUUKUL","2014.02.18 06:21:11","Lessie","Brakus","","","1","","1","(252)-581-4857","1","1",1
"26","50961018BMIHORNK","2014.03.01 12:53:36","Willow","Jaskolski","","","0","","0","(234)-894-6883","1","1",1
"27","71075694NLGBKGTK","2014.02.12 19:12:57","Parker","Ortiz","","","1","38349","1","(904)-180-2988","0","1",1
"28","48118162DVITZDYI","2014.02.09 01:45:56","Octavia","Skiles","983 Celestino Ranch","South Cyril","1","53924","1","(424)-889-0697","0","0",1
"29","90061617TSRFULZQ","2014.02.14 20:36:39","Salvatore","Willms","","","1","23836","1","(813)-361-5893","0","1",1
"30","60069770MEEGXGBY","2014.02.10 22:02:54","Karine","","","","1","","0","(719)-597-3561","1","1",1
"31","90552453CGEXLBJJ","2014.02.11 13:19:36","Mayra","Herman","","","1","79503","1","(505)-193-9110","1","1",1
"32","20833231ASOSVRPZ","2014.02.11 16:17:12","Ila","Miller","529 Leon Run","East Oleta","1","66723","1","(915)-119-9118","0","1",1
"33","07114905QWHLZBPD","2014.02.11 05:40:05","Berneice","Pfannerstill","","","1","20295-3098","1","(906)-754-7560","0","1",1
"34","50818971PUYLRPCJ","2014.02.12 16:57:14","Eileen","Leuschke","9203 Yundt Ville","Purdyport","1","64291-3471","1","(815)-110-5191","0","1",1
"35","57259418DGVFUZNW","2014.02.12 18:37:15","Carlo","Christiansen","","","1","65233-8171","1","(413)-905-2389","0","1",1
